id1,id2,FieldOfStudyName1,FieldOfStudyName2,distance
terms3,terms200,bio,phy,0.060827619962558144
terms4,terms51,bio,comp,0.22360680374758066
terms4,terms52,bio,comp,0.13341664673389422
terms4,terms53,bio,comp,0.33376639900030297
terms4,terms54,bio,comp,0.26000000794346523
terms4,terms55,bio,comp,0.2716615573282772
terms4,terms56,bio,comp,0.19026298104994732
terms4,terms57,bio,comp,0.26248810151926516
terms4,terms58,bio,comp,0.1900000050663948
terms4,terms59,bio,comp,0.20880613621557323
terms4,terms60,bio,comp,0.23323808016376507
terms4,terms61,bio,comp,0.1360147095791307
terms4,terms62,bio,comp,0.21095023565345883
terms4,terms63,bio,comp,0.14560220348603725
terms4,terms64,bio,comp,0.2879236045694781
terms4,terms65,bio,comp,0.26627054344538337
terms4,terms66,bio,comp,0.3622154048343623
terms4,terms67,bio,comp,0.25000000923871996
terms4,terms68,bio,comp,0.25019992757407605
terms4,terms69,bio,comp,0.2607681058081879
terms4,terms70,bio,comp,0.26000000536441803
terms4,terms71,bio,comp,0.3700000047683716
terms4,terms72,bio,comp,0.27658633662805077
terms4,terms73,bio,comp,0.21095023565345883
terms4,terms74,bio,comp,0.3383784958697938
terms4,terms75,bio,comp,0.3324154040270472
terms4,terms76,bio,comp,0.2308679317302171
terms4,terms77,bio,comp,0.2865309860701736
terms4,terms78,bio,comp,0.20099751905018048
terms4,terms79,bio,comp,0.16492423037351886
terms4,terms80,bio,comp,0.26172505181824735
terms4,terms81,bio,comp,0.1300000064074993
terms4,terms82,bio,comp,0.1565247640893869
terms4,terms83,bio,comp,0.22803508858118
terms4,terms84,bio,comp,0.31256999441192307
terms4,terms85,bio,comp,0.27202941477604053
terms4,terms86,bio,comp,0.25019992749962977
terms4,terms87,bio,comp,0.27658633703211527
terms4,terms88,bio,comp,0.13601471094857456
terms4,terms89,bio,comp,0.17262677065302381
terms4,terms90,bio,comp,0.24020825258599957
terms4,terms91,bio,comp,0.2690724857262829
terms4,terms92,bio,comp,0.14866069480044086
terms4,terms93,bio,comp,0.20248457566581132
terms4,terms94,bio,comp,0.22472205422260833
terms4,terms95,bio,comp,0.2968164459407214
terms4,terms96,bio,comp,0.21931712804837422
terms4,terms97,bio,comp,0.2202271616973353
terms4,terms98,bio,comp,0.13152947064467518
terms4,terms99,bio,comp,0.22472205422260833
terms4,terms100,bio,comp,0.13341664715272766
terms4,terms101,bio,soc,0.3499999977648259
terms4,terms102,bio,soc,0.3440930094864701
terms4,terms103,bio,soc,0.3827531994217807
terms4,terms104,bio,soc,0.31890437899390667
terms4,terms105,bio,soc,0.37483330753023725
terms4,terms106,bio,soc,0.4301162567696773
terms4,terms107,bio,soc,0.35510562457871475
terms4,terms108,bio,soc,0.42201895821250146
